Family ID	0.0189066	0.427951	2.55314	
OG0000021	1.03356e-261	1.17508e-134	5.92247e-77	
OG0000022	1.5558e-260	1.23487e-137	2.00663e-82	
OG0000024	6.72412e-256	2.33502e-131	1.71538e-76	
OG0000027	1.61879e-264	2.03091e-137	1.86062e-79	
OG0000033	4.68125e-247	2.20312e-130	6.67318e-77	
OG0000036	8.82235e-176	3.5493e-89	2.83096e-54	
OG0000044	3.78783e-160	5.36807e-86	7.71235e-55	
OG0000048	1.24904e-139	2.00705e-75	9.22444e-50	
OG0000049	4.99353e-169	9.36964e-90	4.3056e-55	
OG0000053	6.03391e-182	4.28369e-94	2.03089e-55	
OG0000054	1.29781e-170	9.35329e-90	4.97482e-55	
OG0000055	3.60963e-171	2.4544e-88	5.46563e-52	
OG0000057	3.67119e-193	2.33259e-103	1.91906e-61	
OG0000058	4.77857e-200	1.05983e-108	1.49605e-66	
OG0000061	2.3646e-133	3.01277e-71	3.7956e-46	
OG0000062	1.88122e-141	3.4006e-77	3.75597e-50	
OG0000063	1.47928e-185	9.07172e-103	4.73527e-64	
OG0000064	6.48019e-135	4.39459e-70	7.06841e-44	
OG0000065	1.22064e-135	1.33223e-70	6.11006e-44	
OG0000067	1.20085e-144	5.90464e-78	3.25213e-49	
OG0000070	2.77104e-197	5.10161e-104	1.03956e-60	
OG0000071	1.39522e-180	4.84404e-95	8.95113e-56	
OG0000073	9.43027e-143	2.52521e-74	9.99008e-45	
OG0000074	3.39719e-137	3.53399e-73	4.36632e-46	
OG0000075	2.96241e-128	2.78421e-67	1.12205e-42	
OG0000076	2.95499e-128	1.2559e-69	2.7533e-46	
OG0000079	2.71967e-138	1.90338e-74	1.22689e-46	
OG0000080	1.70769e-189	7.73728e-101	2.91987e-60	
OG0000082	3.76781e-129	8.15735e-70	8.20398e-45	
OG0000083	0	2.4468e-184	1.23222e-109	
OG0000084	2.81965e-142	3.70503e-77	9.26961e-50	
OG0000086	1.54984e-123	2.1495e-65	3.88441e-42	
OG0000087	3.48137e-126	1.73055e-68	2.48531e-44	
OG0000088	6.21966e-123	2.09242e-67	8.69637e-45	
OG0000091	1.35028e-154	1.5235e-82	1.36306e-50	
OG0000092	6.40099e-131	9.58083e-70	5.0744e-44	
OG0000096	5.03444e-127	2.18113e-66	3.38616e-41	
OG0000097	1.44651e-139	3.67521e-73	7.10299e-45	
OG0000102	4.4704e-114	2.13155e-62	6.52408e-42	
OG0000104	3.28806e-151	2.6259e-81	4.251e-50	
OG0000106	1.69944e-137	3.72864e-73	1.69996e-46	
OG0000111	4.93656e-134	1.72971e-72	2.32018e-46	
OG0000112	2.82972e-122	4.49131e-70	6.29369e-48	
OG0000116	3.47235e-148	5.2388e-82	3.02246e-51	
OG0000118	2.52716e-97	1.88152e-52	4.06544e-36	
OG0000120	3.2416e-263	6.05997e-151	2.3942e-93	
OG0000121	1.01406e-136	1.92049e-72	4.72711e-44	
OG0000122	5.91217e-124	2.79673e-68	3.58952e-44	
OG0000123	1.55153e-102	3.39493e-55	1.09057e-36	
OG0000124	7.90332e-142	1.10763e-74	6.36851e-46	
OG0000125	2.37726e-136	7.29512e-75	4.07918e-48	
OG0000126	7.37206e-167	3.11373e-90	2.18429e-54	
