#FamilyID	aly<0>	ath<1>	<2>	cru<3>	bol<4>	bra<5>	<6>	<7>	ppe<8>	mdo<9>	<10>	cpa<11>	rco<12>	ptr<13>	<14>	fve<15>	cme<16>	csa<17>	mtr<18>	car<19>	<20>	tca<21>	<22>	ccl<23>	<24>	<25>	<26>	gma<27>	Cquinoa<28>	Soleracea<29>	<30>	<31>	<32>	<33>	<34>	Bvulgaris<35>	sly<36>	stu<37>	<38>	<39>	<40>	Ahypochondriacus<41>	<42>	Mguttatus<43>	<44>	egr<45>	<46>	dianthus<47>	iceplant<48>	hylocereus<49>	<50>	ccan<51>	<52>	Vvi<53>	Klaxiflora<54>	Kfedtschenkoi<55>	<56>	<57>	<58>	dca<59>	<60>	<61>	<62>	<63>	osa<64>	zma<65>	<66>	<67>	<68>	Acomosus<69>	<70>	<71>	<72>	Atr<73>	<74>	
OG0000054	0.0536286	0.0186767	0.57509	0.602917	0.0545799	0.594599	0.568367	6.99381e-08	0.000901389	9.14105e-10	0.640106	0.360939	0.00235369	0.592742	0.621763	0.000471925	0.582351	0.00178821	0.547403	0.547403	0.536197	0.382337	0.710471	0.748516	0.662381	0.718105	0.621644	0.0216068	0.000843422	0.000260692	0.527807	0.514338	0.511395	0.67647	0.579184	0.00323557	0.533338	0.0501073	0.560792	0.558808	0.515543	0.615799	0.204189	0.101702	0.51229	0.434365	0.653395	4.07098e-05	0.0176474	0.00395796	0.508931	0.665726	0.577389	0.793614	3.22967e-05	0.630058	0.584167	0.612987	0.176485	0.746231	0.518483	0.212597	0.121907	0.654595	0.5961	0.5961	0.504056	0.506975	0.035831	0.0220408	0.0671282	0.700818	0.565155	0.146159	N/A
OG0000055	0.528809	0.528809	0.113613	0.602917	0.571775	0.571775	0.568367	0.000571772	0.560716	5.93539e-05	0.0692348	0.702178	0.592742	0.00707094	0.0582883	0.63638	0.552133	0.0784592	0.547403	0.0714727	0.529284	0.714709	0.119561	0.719149	0.637542	0.291291	0.621644	3.61538e-07	0.00879581	0.0258806	0.522437	0.51152	0.509147	0.0933518	0.542228	0.0863505	0.543699	0.543699	0.549579	0.547929	0.507864	0.563884	0.634085	0.101702	0.509868	0.382519	0.587927	0.635499	0.00784485	1.66905e-15	0.508931	0.2537	0.563473	0.0122259	2.60971e-06	0.224625	0.0885875	0.58024	0.596431	9.28973e-05	0.51487	0.00739632	0.656843	0.630526	0.58221	0.58221	0.503249	0.505592	0.125803	0.720526	0.614566	0.700818	0.565155	0.146159	N/A
OG0000057	0.0833552	0.555153	0.611961	0.649256	0.0103873	0.608744	0.602608	6.64107e-06	0.537865	1.58484e-06	4.78755e-07	0.666538	0.0890665	5.43867e-05	0.57937	0.0623503	0.552133	0.552133	0.538489	0.538489	0.522212	0.0113067	0.648311	0.682361	0.609429	0.654881	0.60138	3.5097e-05	2.92911e-09	0.511592	0.516972	0.508678	0.506884	0.0704472	0.528777	0.539411	0.563379	0.0031611	0.537914	0.536628	0.505263	0.0661011	0.100618	0.125866	0.507429	0.00122591	0.0035422	0.107265	0.00784485	0.0215442	0.511126	0.0151823	0.548821	0.727866	1.41866e-06	0.630058	0.558733	0.58024	0.615954	0.746231	0.0223335	0.0647088	0.656843	0.0784283	0.00361358	0.000419985	0.503249	0.505592	0.762005	0.121341	0.614566	0.00368368	0.565155	0.50216	N/A
OG0000058	0.528809	0.528809	0.113613	0.602917	1.21235e-08	0.555402	0.568367	0.0716147	0.000901389	1.05896e-11	0.640106	0.360939	0.00235369	0.00707094	0.621763	0.247157	0.582351	0.124722	0.538489	0.000318405	0.536197	0.0309312	0.710471	0.0328279	0.662381	0.718105	0.185314	5.36279e-11	2.92911e-09	0.511592	0.527807	0.514338	0.511395	0.67647	0.528777	0.539411	0.543699	3.14481e-07	0.560792	0.558808	0.505263	0.000312181	0.634085	0.660898	0.51229	0.0147244	0.132711	0.635499	0.622817	0.0721121	0.508931	0.2537	0.577389	0.251581	2.60971e-06	0.646372	0.545085	0.562163	0.176485	0.186616	0.518483	0.0907682	0.013153	0.654595	0.58221	0.58221	0.504056	0.506975	0.125803	0.720526	0.0671282	0.700818	0.565155	0.146159	N/A
OG0000061	0.535617	0.000941013	0.57509	0.156328	3.31803e-06	0.579607	0.568367	2.35089e-05	0.549516	0.0264062	0.0692348	0.702178	0.576476	0.0045867	0.601484	0.207758	0.567659	0.567659	0.529301	0.529301	0.529284	0.0203116	0.682116	0.0216206	0.637542	0.68941	0.153679	1.16947e-07	0.000843422	0.000260692	0.522437	0.51152	0.509147	0.650371	0.579184	0.605038	0.553708	0.553708	0.549579	0.547929	0.515543	0.615799	0.658552	0.000910775	0.509868	0.745265	0.0105197	0.256803	0.233948	0.095532	0.511126	0.693072	0.563473	0.76558	0.593382	0.00229692	0.558733	0.58024	0.615954	0.186616	0.51487	0.737601	0.656843	0.0784283	0.0460865	0.58221	0.503249	0.505592	0.717822	0.075318	0.614566	0.136593	0.565155	0.50216	N/A
OG0000062	0.528809	0.0149454	0.561538	0.585178	0.571775	0.571775	0.5559	1.12736e-05	0.0746134	0.0018311	0.617605	0.311788	0.115576	0.576476	0.601484	0.00580361	0.567659	0.102149	0.556052	1.10912e-05	0.529284	0.332088	0.682116	0.339329	0.637542	0.68941	0.640246	0.000134146	1.10385e-11	0.000174717	0.522437	0.51152	0.509147	0.0206361	0.567404	0.136602	0.0346328	0.563379	0.549579	0.547929	0.513003	0.599659	0.100618	0.687883	0.509868	0.745265	0.633633	0.695177	0.679505	0.000164802	0.511126	0.298257	0.117129	0.793614	0.0108036	0.171034	0.571749	0.597154	0.615954	0.0722852	0.518483	0.766792	0.683503	0.654595	0.552039	0.552039	0.504056	0.506975	0.654634	0.280431	0.0063535	0.665286	0.55015	0.435379	N/A
OG0000063	0.521848	0.521848	0.547294	0.566131	0.0299218	0.555402	0.00117349	0.0716147	0.0916945	2.34267e-20	0.640106	0.16945	0.00235369	0.000236035	0.621763	0.247157	0.552133	0.552133	0.556052	1.10912e-05	0.536197	0.00315068	0.710471	0.748516	0.0835879	0.291291	0.640246	4.06101e-08	8.73404e-10	0.533587	0.527807	0.514338	0.0171122	0.115695	0.00228941	0.574226	0.553708	0.553708	0.560792	0.558808	0.510444	0.12459	0.0810302	0.660898	0.51229	0.774246	0.611887	0.667692	0.653159	0.00784485	0.508931	0.10564	0.0345054	0.416978	0.0070628	0.593382	0.558733	0.58024	0.596431	0.716874	0.51487	0.737601	0.656843	0.630526	0.535653	1.23068e-05	0.503249	0.505592	0.612889	0.00488792	0.00277265	0.621579	0.534324	0.7259	N/A
OG0000064	0.535617	0.535617	0.57509	0.156328	0.00522273	0.579607	0.568367	2.35089e-05	0.549516	0.549516	0.0692348	0.311788	0.576476	0.0045867	0.601484	0.207758	0.552133	0.552133	0.538489	0.0579336	0.529284	0.150146	0.682116	0.719149	0.637542	0.291291	0.60138	6.45334e-09	0.00879581	0.0258806	0.522437	0.51152	0.509147	0.650371	0.542228	0.0863505	0.0231218	0.0658097	0.549579	0.547929	0.507864	0.0345588	0.634085	0.660898	0.509868	0.382519	0.587927	0.635499	0.186012	0.622817	0.508931	0.10564	0.563473	0.416978	9.64374e-08	0.68852	0.545085	0.562163	0.596431	0.152334	0.51487	1.41822e-05	0.239727	0.630526	0.58221	0.58221	0.503249	0.505592	0.125803	0.720526	0.614566	0.700818	0.565155	0.146159	N/A
OG0000065	0.548785	0.548785	0.600267	0.634867	0.00896326	0.601774	0.591696	3.8535e-06	0.000548448	0.549516	0.000520029	0.0169716	0.115576	0.0423438	0.601484	0.63638	0.552133	0.552133	0.0252673	0.0714727	0.529284	0.714709	0.682116	0.0216206	0.637542	0.291291	0.621644	0.0216068	0.522783	0.0342418	0.522437	0.51152	0.509147	0.0933518	0.555094	0.112147	0.00220745	0.553708	0.549579	0.547929	0.510444	0.582384	0.0810302	0.660898	0.509868	0.00306708	0.611887	0.107265	0.653159	0.095532	0.508931	0.2537	0.563473	0.0404985	3.22967e-05	0.630058	0.558733	0.58024	0.596431	0.152334	0.51487	0.0647088	0.656843	0.630526	0.552039	8.2719e-07	0.503249	0.505592	0.654634	0.683662	0.0505136	0.665286	0.55015	0.435379	N/A
OG0000067	0.528809	0.528809	0.561538	0.585178	0.538028	0.0199696	0.5559	0.600283	0.0746134	2.0903e-10	0.617605	0.0169716	0.115576	0.0423438	0.601484	0.63638	0.567659	0.567659	0.538489	0.538489	0.529284	0.332088	0.682116	0.339329	0.637542	0.68941	0.60138	6.45334e-09	2.76269e-06	0.0342418	0.522437	0.51152	0.509147	0.650371	0.555094	0.112147	0.553708	0.0288842	0.549579	0.547929	0.510444	0.582384	0.658552	0.125866	0.509868	0.00850139	0.611887	0.667692	0.653159	0.0215442	0.511126	0.0151823	0.563473	0.208224	7.14751e-07	0.612435	0.558733	0.58024	0.615954	0.0722852	0.51487	0.174444	0.656843	0.0784283	0.552039	8.2719e-07	0.503249	0.505592	0.654634	0.683662	0.0505136	0.665286	0.55015	0.0466619	N/A
