#FamilyID	pvalue	Significant at 0.05
OG0000513	0	y
OG0000515	0	y
OG0000516	0	y
OG0000518	0	y
OG0000521	0	y
OG0000522	0	y
OG0000523	0	y
OG0000525	0	y
OG0000526	0	y
OG0000527	0	y
OG0000528	0	y
OG0000529	0	y
OG0000530	0	y
OG0000531	0	y
OG0000532	0	y
OG0000533	0	y
OG0000535	0	y
OG0000539	0	y
OG0000540	0	y
OG0000541	0.001	y
OG0000542	0	y
OG0000543	0	y
OG0000544	0	y
OG0000545	0	y
OG0000546	0	y
OG0000548	0	y
OG0000551	0	y
OG0000552	0	y
OG0000553	0.001	y
OG0000554	0	y
OG0000555	0	y
OG0000556	0	y
OG0000557	0	y
OG0000558	0	y
OG0000559	0	y
OG0000561	0	y
OG0000562	0	y
OG0000563	0	y
OG0000565	0	y
OG0000566	0	y
OG0000568	0	y
OG0000569	0	y
OG0000570	0	y
OG0000571	0	y
OG0000572	0	y
OG0000573	0	y
OG0000574	0	y
OG0000575	0	y
OG0000576	0	y
OG0000577	0	y
OG0000578	0	y
OG0000579	0	y
OG0000580	0	y
OG0000581	0	y
OG0000582	0	y
OG0000587	0	y
OG0000588	0	y
OG0000589	0	y
OG0000590	0	y
OG0000591	0	y
OG0000592	0	y
OG0000593	0	y
OG0000594	0	y
OG0000595	0	y
OG0000596	0	y
OG0000599	0	y
OG0000600	0	y
OG0000601	0	y
OG0000602	0	y
OG0000603	0	y
OG0000604	0	y
OG0000605	0	y
OG0000607	0	y
OG0000608	0	y
OG0000609	0	y
OG0000610	0	y
OG0000613	0	y
OG0000616	0.004	y
OG0000617	0	y
OG0000618	0	y
OG0000619	0	y
OG0000620	0	y
OG0000621	0	y
OG0000622	0	y
OG0000623	0	y
OG0000624	0	y
OG0000625	0	y
OG0000626	0	y
OG0000628	0	y
OG0000630	0	y
OG0000631	0	y
OG0000632	0	y
OG0000633	0	y
OG0000634	0	y
OG0000635	0	y
OG0000636	0	y
OG0000637	0	y
OG0000639	0	y
OG0000640	0.001	y
OG0000641	0	y
OG0000642	0	y
OG0000643	0	y
OG0000644	0	y
OG0000645	0	y
OG0000646	0	y
OG0000647	0	y
OG0000648	0	y
OG0000649	0	y
OG0000650	0	y
OG0000652	0	y
OG0000656	0	y
OG0000658	0	y
OG0000659	0	y
OG0000660	0	y
OG0000661	0	y
OG0000663	0	y
OG0000664	0	y
OG0000665	0.001	y
OG0000666	0	y
OG0000667	0	y
OG0000671	0.001	y
OG0000672	0	y
OG0000673	0	y
OG0000674	0.009	y
OG0000676	0	y
OG0000677	0	y
OG0000678	0	y
OG0000679	0	y
OG0000680	0	y
OG0000681	0	y
OG0000682	0	y
OG0000683	0	y
OG0000685	0	y
OG0000688	0	y
OG0000689	0	y
OG0000691	0	y
OG0000692	0	y
OG0000693	0	y
OG0000694	0	y
OG0000695	0	y
OG0000696	0	y
OG0000697	0	y
OG0000698	0	y
OG0000699	0	y
OG0000700	0	y
OG0000701	0	y
OG0000702	0	y
OG0000704	0	y
OG0000710	0	y
OG0000711	0	y
OG0000712	0	y
OG0000713	0	y
OG0000715	0	y
OG0000716	0	y
OG0000717	0	y
OG0000720	0	y
OG0000721	0	y
OG0000723	0	y
OG0000724	0	y
OG0000725	0	y
OG0000726	0	y
OG0000727	0	y
OG0000728	0	y
OG0000729	0	y
OG0000730	0	y
OG0000731	0.001	y
OG0000732	0	y
OG0000733	0	y
OG0000734	0	y
OG0000737	0	y
OG0000738	0	y
OG0000739	0.011	y
OG0000740	0	y
OG0000741	0	y
OG0000742	0	y
OG0000743	0	y
OG0000744	0	y
OG0000745	0	y
OG0000746	0	y
OG0000747	0	y
OG0000749	0	y
OG0000750	0	y
OG0000751	0	y
OG0000752	0	y
OG0000753	0	y
OG0000755	0	y
OG0000756	0	y
OG0000757	0	y
OG0000759	0	y
OG0000761	0	y
OG0000767	0	y
OG0000768	0	y
OG0000769	0	y
OG0000770	0	y
OG0000772	0	y
OG0000773	0	y
OG0000774	0	y
OG0000775	0	y
OG0000776	0	y
